Numero de Tratativas;Número da programação;Aut. embarque;Tipo de programação;Situação programação;CNPJ Transportadora;Transportadora;Nome local de atendimento;Situação prazo programação;Previsão início atendimento (BRA);Situação viagem;Dt. inclusão da programação;Cidade de destino;Dt chegada local de atendimento (BRA);Dt saída local de atendimento (BRA);Cidade de origem;Cidade local de atendimento;Placa do veículo;Placa da carreta 1;Embarcador;Placa da carreta 2;Valor da viagem;Data de criação da AE;Observação Aberta;Última tratativa
0;3REC73339A;841637;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 06:30:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 06:30:00;01/03/2023 11:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;MEW4141 ;HUZ4940 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:42:47;...;
0;3REC73378A;;Entrega;CANCELADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DPC DISTRIBUIDOR ATACADISTA S/A;;01/03/2023 07:00:00;SEM VIAGEM;27/02/2023 14:39:09;;;;IPOJUCA/PE;CARUARU/PE;;;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3REC73379A;;Entrega;CANCELADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;DPC DISTRIBUIDOR ATACADISTA S/A;;01/03/2023 07:00:00;SEM VIAGEM;27/02/2023 14:39:09;;;;IPOJUCA/PE;CARUARU/PE;;;ATUALIZAR PARA O EMBARCADOR CORRETO;;1,00;;...;
0;3REC73380A;841279;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PREMIER PET NORDESTE LTDA;No prazo;01/03/2023 07:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 05:54:38;01/03/2023 11:00:44;IPOJUCA/PE;JABOATAO DOS GUARARAPES/PE;ECM7B87 ;KBV5756 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 17:51:04;...;
0;3REC73345A;841646;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 07:30:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 07:30:00;01/03/2023 12:30:00;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;GTQ8281 ;HVP7J59 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:52:24;...;
0;3REC73335A;841611;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 12:05:06;;28/02/2023 23:17:12;01/03/2023 10:39:05;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HUM5925 ;DPC9504 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:16:21;...;
1;3REC73376A;841510;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:39:09;;01/03/2023 08:00:00;01/03/2023 13:00:00;IPOJUCA/PE;POMBOS/PE;RIS6G00 ;BWM3F64 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 21:28:38;...;"Nome do Porto: TECON
Previsão de Chegada: SEM JANELA PARA EMISSÃO DE FUE DE OS ANTERIOR"
0;3REC73382A;841551;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PERNOD RICARD BRASIL INDUSTRIA E COMERCIO LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 07:45:00;01/03/2023 10:06:47;IPOJUCA/PE;CABO DE SANTO AGOSTINHO/PE;PEX2D92 ;BYB5B41 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 22:01:39;...;
0;3REC73384A;;Entrega;CANCELADA COM AE;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;C I L COMERCIO DE INFORMATICA LTDA;Atrasado;01/03/2023 08:00:00;SEM VIAGEM;27/02/2023 14:41:10;;01/03/2023 09:58:02;01/03/2023 09:58:02;IPOJUCA/PE;RECIFE/PE;KGE8B12 ;KLM7J03 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;
0;3REC73385A;841666;Entrega;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;C I L COMERCIO DE INFORMATICA LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 14:42:04;;01/03/2023 05:33:58;01/03/2023 17:58:53;IPOJUCA/PE;RECIFE/PE;OYZ6J72 ;MXT1285 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;01/03/2023 00:05:25;...;
0;3SSZ334854A;841471;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PLASTIPAK DO BRASIL LTDA;No prazo;01/03/2023 08:00:00;CONCLUIDA;27/02/2023 16:23:52;;01/03/2023 08:00:00;01/03/2023 13:00:00;;PAULINIA/SP;RIR5I98 ;GBO0B92 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 20:49:04;...;
0;3REC73344A;841643;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 08:30:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 08:01:00;01/03/2023 16:37:51;SAO GONCALO DO AMARANTE/CE;SAO GONCALO DO AMARANTE/CE;HWQ9I12 ;HUF7F13 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 23:49:02;...;
0;3SSZ334855A;841474;Coleta;ENCERRADA;15.245.792/0006-46;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PLASTIPAK DO BRASIL LTDA;No prazo;01/03/2023 08:30:00;CONCLUIDA;27/02/2023 16:23:52;;28/02/2023 20:43:00;01/03/2023 10:40:00;;PAULINIA/SP;RIS6G08 ;FWE4C93 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 20:51:29;...;
0;3REC73338A;841573;Entrega;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;COOPERATIVA CENTRAL AURORA ALIMENTOS;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 12:05:06;;01/03/2023 07:56:38;01/03/2023 09:28:38;SAO GONCALO DO AMARANTE/CE;FORTALEZA/CE;AUT4661 ;IXY8017 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;28/02/2023 22:24:06;...;
0;3REC73342A;842129;Coleta;ENCERRADA;15.245.792/0004-84;SAFFLOG TRANSPORTES E LOGISTICA INTEGRADA LTDA;DSM PRODUTOS NUTRICIONAIS BRASIL S.A.;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 12:06:00;;01/03/2023 08:33:12;01/03/2023 16:22:02;;SAO GONCALO DO AMARANTE/CE;MEW4141 ;HUZ4940 ;LOG IN LOGISTICA INTERMODAL SA          ;;;01/03/2023 08:53:01;...;
1;3REC73377A;;Entrega;CANCELADA COM AE;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA;Atrasado;01/03/2023 09:00:00;SEM VIAGEM;27/02/2023 14:39:09;;01/03/2023 09:56:21;01/03/2023 09:56:21;IPOJUCA/PE;POMBOS/PE;RIR5J06 ;GBS9J12 ;LOG IN LOGISTICA INTERMODAL SA.         ;;1,00;;...;"Nome do Porto: TECON
Previsão de Chegada: SEM JANELA PARA EMISSÃO DE FUE DE OS ANTERIOR"
0;3REC73383A;841555;Coleta;ENCERRADA;15.245.792/0005-65;SAFFLOG TRANSPORTES E LOGISTICA INTEGRAD;PERNOD RICARD BRASIL INDUSTRIA E COMERCIO LTDA;No prazo;01/03/2023 09:00:00;CONCLUIDA;27/02/2023 14:40:09;;01/03/2023 08:57:00;01/03/2023 10:29:00;;CABO DE SANTO AGOSTINHO/PE;MHM8C59 ;IHJ6429 ;LOG IN LOGISTICA INTERMODAL SA          ;;;28/02/2023 22:05:14;...;
